city,lat,lng,group
San Juan de los Lagos,21.2458,-102.3308,C
Los Reyes de Salgado,19.5833,-102.4667,C
Rioverde,21.93,-99.98,B
Ixtaczoquitlán,18.85,-97.0667,C
Purísima de Bustos,21.0333,-101.8667,B
Jacona de Plancarte,19.9333,-102.3167,C
Yuriria,20.2,-101.15,C
Mineral de la Reforma,20.15,-98.4333,C
Valle Hermoso,25.6736,-97.8144,C
Zapotlanejo,20.6228,-103.0689,C
Cabo San Lucas,22.8897,-109.9156,B
Ixtlahuacán de los Membrillos,20.35,-103.1833,C
La Barca,20.2833,-102.5667,C
Tepotzotlán,19.7161,-99.2236,C
Santa Catarina Otzolotepec,18.5667,-97.25,C
Heroica Caborca,30.7167,-112.15,B
Zihuatanejo,17.6444,-101.5511,A
Dolores Hidalgo Cuna de la Independencia Nacional,21.1516,-100.9369,B
San Mateo Atenco,19.2667,-99.5333,C
Ramos Arizpe,25.55,-100.9667,B
Ocoyoacac,19.2739,-99.4606,C
Torreón,25.5419,-103.4083,B
Jocotitlán,19.7072,-99.7867,C
Jiquílpan de Juárez,19.9942,-102.7172,C
Autlán de Navarro,19.7667,-104.3667,A
Coyula,20.6586,-103.2264,C
Sabinas,27.9167,-101.3,B
Santo Domingo Tehuantepec,16.3244,-95.2389,A
Apaseo el Alto,20.45,-100.6167,C
Santiago Tianguistenco,19.1797,-99.4706,C
Misantla,19.9333,-96.85,A
Guamúchil,25.4639,-108.0794,B
Teoloyucan,19.7442,-99.1811,C
Puerto Peñasco,31.3167,-113.5369,B
Cortazar,20.4828,-100.9611,B
Valle de Bravo,19.1925,-100.1306,C
Huatusco,19.1489,-96.9661,C
Atotonilco el Alto,20.5333,-102.5,C
Huehuetoca,19.8342,-99.2033,C
Altamira,22.3375,-97.8694,A
Huauchinango,20.1767,-98.0528,C
Balancán,17.8,-91.5333,A
Temascalcingo,19.9147,-100.0036,C
Zempoala,19.9153,-98.6689,C
Jerez de García Salinas,22.6481,-102.9903,B
Santiago Tuxtla,18.4653,-95.3025,A
Cosamaloapan,18.3667,-95.8,A
Alvarado,18.7811,-95.7572,A
Tezonapa,18.6,-96.6833,A
Acambay,19.9539,-99.8431,C
Acámbaro,20.0361,-100.7314,C
Uman,20.8833,-89.75,A
Chiapa de Corzo,16.7069,-93.0139,A
Nuevo Casas Grandes,30.4167,-107.9167,B
Oxchuc,16.7833,-92.2833,C
Tequisquiapan,20.5206,-99.8958,B
Ixhuatlán de Madero,20.6833,-98.0167,A
Encarnación de Díaz,21.5167,-102.2333,B
Pinotepa,16.3412,-98.0537,A
Simojovel de Allende,17.15,-92.7167,A
San José Villa de Allende,19.3747,-100.1475,C
Tizimín,21.1425,-88.1647,A
Tlacotepec,18.6882,-97.6489,B
Taxco de Alarcón,18.5564,-99.605,C
Uriangato,20.1333,-101.1667,C
Acatzingo,18.9817,-97.7822,C
Huamantla,19.3133,-97.9228,C
Palenque,17.4333,-91.8,A
Umán,20.8833,-89.75,A
Zumpango,19.7969,-99.0992,C
Francisco I. Madero,25.7753,-103.2731,B
Tepeapulco,19.7856,-98.5517,C
San Pedro,25.7578,-102.9831,B
Santa Lucía del Camino,17.0667,-96.7,B
Catemaco,18.4167,-95.1167,A
