name,state,population,latitude,longitude
Tultepec,México,91808.0,19.685,-99.1281
Agua Prieta,Sonora,91029.0,31.3258,-109.5489
Ciudad de Atlixco,Puebla,89314.0,18.9,-98.45
San Francisco,Sonora,89122.0,30.7841,-112.518
Jilotepec,México,87927.0,19.9519,-99.5328
Salinas Victoria,Nuevo León,86766.0,25.9667,-100.3
Santa Rosa Jauregui,Querétaro,86376.0,20.7418,-100.4473
Guasave,Sinaloa,86361.0,25.5655,-108.4718
Apaseo el Grande,Guanajuato,85319.0,20.5531,-100.6347
Ciudad Mante,Tamaulipas,84787.0,22.7333,-98.95
Túxpam de Rodríguez Cano,Veracruz,84750.0,20.95,-97.4
Acayucan,Veracruz,83817.0,17.9422,-94.9103
La Piedad,Michoacán,83323.0,20.3333,-102.0167
La Trinidad,Chiapas,83111.0,15.9833,-91.8667
Apizaco,Tlaxcala,81565.0,19.4167,-98.1333
Xicotepec de Juárez,Puebla,81455.0,20.3,-97.9667
Salina Cruz,Oaxaca,81063.0,16.1833,-95.2
Tecate,Baja California,81059.0,32.5722,-116.6403
Tala,Jalisco,80365.0,20.6667,-103.7
Maravatío de Ocampo,Michoacán,80258.0,19.8976,-100.45
San Andrés Cholula,Puebla,80118.0,19.05,-98.3
Pátzcuaro,Michoacán,79868.0,19.5164,-101.6097
Ciudad Lerdo,Durango,79669.0,25.55,-103.5167
Juventino Rosas,Guanajuato,79214.0,20.65,-101.0
Ciudad Lázaro Cárdenas,Michoacán,79200.0,17.9561,-102.1922
Sahuayo de Morelos,Michoacán,78477.0,20.05,-102.7333
Villa Victoria,México,77819.0,19.4333,-100.0
Huebampo,Sonora,77682.0,26.7228,-109.4856
Cozumel,Quintana Roo,77236.0,20.5104,-86.9493
Tecamachalco,Puebla,77061.0,18.8667,-97.7167
Tacámbaro de Codallos,Michoacán,76661.0,19.2356,-101.4569
Cadereyta Jiménez,Nuevo León,75721.0,25.6,-100.0
Frontera,Coahuila,75242.0,26.926,-101.449
Juchitán de Zaragoza,Oaxaca,74825.0,16.4333,-95.0167
Silao,Guanajuato,74242.0,20.9478,-101.4281
San Francisco del Rincón,Guanajuato,71139.0,21.0228,-101.86
Tejupilco,México,71077.0,18.9058,-100.1528
Linares,Nuevo León,70368.0,24.8597,-99.5647
San Miguel de Allende,Guanajuato,69811.0,20.9142,-100.7436
San Juan de los Lagos,Jalisco,69725.0,21.2458,-102.3308
Los Reyes de Salgado,Michoacán,69723.0,19.5833,-102.4667
Rioverde,San Luis Potosí,69613.0,21.93,-99.98
Ixtaczoquitlán,Veracruz,68823.0,18.85,-97.0667
Purísima de Bustos,Guanajuato,68795.0,21.0333,-101.8667
Jacona de Plancarte,Michoacán,68781.0,19.9333,-102.3167
Yuriria,Guanajuato,68741.0,20.2,-101.15
Mineral de la Reforma,Hidalgo,68704.0,20.15,-98.4333
Valle Hermoso,Tamaulipas,68573.0,25.6736,-97.8144
Zapotlanejo,Jalisco,68519.0,20.6228,-103.0689
Cabo San Lucas,Baja California Sur,68463.0,22.8897,-109.9156
Ixtlahuacán de los Membrillos,Jalisco,67969.0,20.35,-103.1833
La Barca,Jalisco,67937.0,20.2833,-102.5667
Tepotzotlán,México,67724.0,19.7161,-99.2236
Santa Catarina Otzolotepec,Puebla,67611.0,18.5667,-97.25
Heroica Caborca,Sonora,67604.0,30.7167,-112.15
Zihuatanejo,Guerrero,67408.0,17.6444,-101.5511
Dolores Hidalgo Cuna de la Independencia Nacional,Guanajuato,67101.0,21.1516,-100.9369
San Mateo Atenco,México,66740.0,19.2667,-99.5333
Ramos Arizpe,Coahuila,66554.0,25.55,-100.9667
Ocoyoacac,México,66190.0,19.2739,-99.4606
Torreón,Coahuila,66001.0,25.5419,-103.4083
Jocotitlán,México,65291.0,19.7072,-99.7867
Jiquílpan de Juárez,Michoacán,65000.0,19.9942,-102.7172
Autlán de Navarro,Jalisco,64931.0,19.7667,-104.3667
Coyula,Jalisco,64886.0,20.6586,-103.2264
Sabinas,Coahuila,64811.0,27.9167,-101.3
Santo Domingo Tehuantepec,Oaxaca,64639.0,16.3244,-95.2389
Apaseo el Alto,Guanajuato,64443.0,20.45,-100.6167
Santiago Tianguistenco,México,64365.0,19.1797,-99.4706
Misantla,Veracruz,64249.0,19.9333,-96.85
Guamúchil,Sinaloa,63743.0,25.4639,-108.0794
Teoloyucan,México,63115.0,19.7442,-99.1811
Puerto Peñasco,Sonora,62301.0,31.3167,-113.5369
Cortazar,Guanajuato,61658.0,20.4828,-100.9611
Valle de Bravo,México,61590.0,19.1925,-100.1306
Huatusco,Veracruz,60674.0,19.1489,-96.9661
Atotonilco el Alto,Jalisco,60480.0,20.5333,-102.5
Huehuetoca,México,59721.0,19.8342,-99.2033
Altamira,Tamaulipas,59536.0,22.3375,-97.8694
Huauchinango,Puebla,58957.0,20.1767,-98.0528
Balancán,Tabasco,58524.0,17.8,-91.5333
Temascalcingo,México,58169.0,19.9147,-100.0036
Zempoala,Hidalgo,57906.0,19.9153,-98.6689
Jerez de García Salinas,Zacatecas,57610.0,22.6481,-102.9903
Santiago Tuxtla,Veracruz,57466.0,18.4653,-95.3025
Cosamaloapan,Veracruz,57147.0,18.3667,-95.8
Alvarado,Veracruz,57035.0,18.7811,-95.7572
Tezonapa,Veracruz,56956.0,18.6,-96.6833
Acambay,México,56847.0,19.9539,-99.8431
Acámbaro,Guanajuato,56597.0,20.0361,-100.7314
Uman,Yucatán,56049.0,20.8833,-89.75
Chiapa de Corzo,Chiapas,55931.0,16.7069,-93.0139
Nuevo Casas Grandes,Chihuahua,55553.0,30.4167,-107.9167
Oxchuc,Chiapas,54932.0,16.7833,-92.2833
Tequisquiapan,Querétaro,54929.0,20.5206,-99.8958
Ixhuatlán de Madero,Veracruz,54132.0,20.6833,-98.0167
Encarnación de Díaz,Jalisco,53555.0,21.5167,-102.2333
Pinotepa,Oaxaca,53148.0,16.3412,-98.0537
Simojovel de Allende,Chiapas,52935.0,17.15,-92.7167
San José Villa de Allende,México,52641.0,19.3747,-100.1475
Tizimín,Yucatán,52593.0,21.1425,-88.1647
Tlacotepec,Puebla,52508.0,18.6882,-97.6489
Taxco de Alarcón,Guerrero,52217.0,18.5564,-99.605
Uriangato,Guanajuato,52156.0,20.1333,-101.1667
Acatzingo,Puebla,52078.0,18.9817,-97.7822
Huamantla,Tlaxcala,51996.0,19.3133,-97.9228
Palenque,Chiapas,51797.0,17.4333,-91.8
Umán,Yucatán,50993.0,20.8833,-89.75
Zumpango,México,50742.0,19.7969,-99.0992
Francisco I. Madero,Coahuila,50084.0,25.7753,-103.2731
Tepeapulco,Hidalgo,49850.0,19.7856,-98.5517
San Pedro,Coahuila,49490.0,25.7578,-102.9831
Santa Lucía del Camino,Oaxaca,49459.0,17.0667,-96.7
Catemaco,Veracruz,49451.0,18.4167,-95.1167
Cintalapa de Figueroa,Chiapas,49201.0,16.6978,-93.7203
Valladolid,Yucatán,48973.0,20.6894,-88.2017
Jiménez,Chihuahua,48859.0,27.13,-104.9067
San Pedro Mixtepec,Oaxaca,48336.0,16.0,-97.1169
Colonia del Sol,Baja California Sur,48032.0,22.9125,-109.9208
Cuetzalan,Puebla,47983.0,20.0333,-97.5167
Ocosingo,Chiapas,47688.0,16.9072,-92.0961
Pabellón de Arteaga,Aguascalientes,47646.0,22.15,-102.2667
Buena Vista Tomatlán,Michoacán,47498.0,19.2102,-102.5869
Chenalhó,Chiapas,47371.0,16.9333,-92.5667
Calimaya,México,47033.0,19.1608,-99.6172
Santiago,Nuevo León,46784.0,25.4333,-100.1333
