"","city","lat","lng","group"
"297","Chenalhó",16.9333,-92.5667,"C"
"298","Calimaya",19.1608,-99.6172,"C"
"299","Santiago",25.4333,-100.1333,"C"
"300","Teotihuacan",19.6897,-98.8608,"C"
"301","Santa Ana Chiautempan",19.3167,-98.1833,"C"
"302","San Francisco de los Romo",22.0833,-102.2667,"B"
"303","La Independencia",16.2526,-92.0237,"C"
"304","Tlalmanalco",19.2044,-98.8025,"C"
"305","Acaxochitlán",20.1667,-98.2,"C"
"306","Santa María Huatulco",15.85,-96.3333,"A"
"307","Guacharachi",27.15,-107.3167,"C"
"308","Cuautepec de Hinojosa",20.15,-98.4333,"C"
"309","Ciudad de Huajuapam de León",17.8,-97.7667,"C"
"310","Montemorelos",25.1872,-99.8267,"C"
"311","Tres Valles",18.1667,-96.0167,"A"
"312","Meoqui",28.2722,-105.4819,"B"
"313","Jalacingo",19.8,-97.3,"C"
"314","Petatlán",17.5383,-101.2739,"A"
"315","Tlajomulco de Zúñiga",20.4736,-103.4431,"C"
"316","Zongolica",18.6667,-97,"C"
"317","Ciudad Constitución",25.0322,-111.6703,"B"
"318","Pedro Celestino Negrete",24.726,-102.984,"B"
"319","Loreto",22.2667,-101.9833,"B"
"320","Actopan",19.5036,-96.6192,"A"
"321","Isla",18.0333,-95.5333,"A"
"322","Hueyapan de Ocampo",18.15,-95.15,"A"
"323","Villa de Zaachila",16.9508,-96.7492,"B"
"324","Ocozocoautla de Espinosa",16.7625,-93.375,"A"
"325","Jesús María",21.9667,-102.35,"B"
"326","Tepalcatepec",19.1833,-102.85,"B"
"327","Atenco",19.5167,-98.9167,"B"
"328","Tecoanapa",16.8,-99.15,"A"
"329","Acatlán de Pérez Figueroa",18.5333,-96.6,"A"
"330","Jocotepec",20.2863,-103.4304,"C"
"331","Coyuca de Catalán",18.3256,-100.6992,"A"
"332","Santa María Atzompa",17.1014,-96.7778,"B"
"333","Coyotepec",19.75,-99.1711,"C"
"334","Jáltipan de Morelos",17.9703,-94.7144,"A"
"335","Tezoyuca",19.5903,-98.9083,"C"
"336","Yajalón",17.1833,-92.3167,"A"
"337","Camargo",27.667,-105.167,"B"
"338","Cihuatlán",19.25,-104.5667,"A"
"339","Heroica Ciudad de Tlaxiaco",17.2077,-97.6798,"C"
"340","Zimapan",20.7333,-99.3833,"B"
"341","Yecapixtla",18.8833,-98.865,"A"
"342","Matías Romero",16.8667,-95.0333,"A"
"343","Temascal",18.2394,-96.4031,"A"
"344","Villa del Carbón",19.7272,-99.5417,"C"
"345","Apan",19.7,-98.4333,"C"
"346","Playa Vicente",17.8333,-95.8167,"A"
